nly used for treating NE in children but is poorly understood by most scholars.,None,"A total of 369 children with NE were randomized to receive either suoquan, desmopressin plus suoquan, desmopressin, or behavioral intervention for 2 months, and the response rates evaluated. Subsequently, the viable demographic factors that could lead to success were investigated on logistic regression analysis. Moreover, after 3 months of follow up, the relapse rate was investigated.","The complete response (CR) rate in the desmopressin plus suoquan group (37.5%) was higher than that in the behavioral intervention group (6.3%, P < 0.007). The desmopressin group had a lower CR rate (22.5%) and a higher non-response rate (25.0%) than the desmopressin plus suoquan group (non-response rate, 21.9%; P > 0.007). The relapse rate in the desmopressin group was significantly higher than that in the desmopressin plus suoquan group (72.2% vs. 30.6%, P < 0.007). On Multivariate analysis, treatment group, NE frequency, and age were independent predictors of CR at 2 months (P < 0.05).","Combined traditional Chinese and Western treatment in children with NE is effective and has a low relapse rate. NE frequency, treatment method, and age are important predictive factors for CR after treatment."
8893,28833233,Health utilities for controlled and uncontrolled chronic hand eczema in healthcare employees,"Küster D, Haufe E, Rethberg C, Bauer A, Seidler A, Schmitt J.",Contact Dermatitis. 2018 Jan;78(1):18-27. doi: 10.1111/cod.12863. Epub 2017 Aug 22.,Küster D,Contact Dermatitis,2018,2017/08/24,,,10.1111/cod.12863,Health utilities provide a universally applicable method for measuring the relative preferences or values of specific health states. Health economic studies use health utilities to estimate disease burden and the cost-effectiveness of interventions. Chronic hand eczema (CHE) affects many individuals and adversely affects work productivity. Health utilities for CHE from the perspective of healthcare professionals are lacking.,To assess health utilities for CHE from the perspectives of employees in the healthcare sector and affected patients.,A cross-sectional study with volunteers from the healthcare sector (n = 126) and patients (n = 32) was conducted to establish health utilities (ranging from 1 = perfect health to 0 = death) for mild and severe CHE.,"The median health utilities of the healthy volunteers derived with the time trade-off method were 0.97 (mean: 0.92) for mild CHE and 0.77 (mean: 0.75) for severe CHE. The median health utilities for mild and severe CHE from the perspective of affected patients were 0.98 (mean: 0.91) and 0.82 (mean: 0.77), respectively. Differences in health utilities between the two study groups were not significant.",CHE constitutes a considerable burden from the perspective of healthcare employees. Effective control of CHE constitutes an important public health goal.
8894,28832898,Spontaneous breathing trials after prolonged mechanical ventilation monitored by electrical impedance tomography: an observational study,"Zhao Z, Peng SY, Chang MY, Hsu YL, Frerichs I, Chang HT, Möller K.",Acta Anaesthesiol Scand. 2017 Oct;61(9):1166-1175. doi: 10.1111/aas.12959. Epub 2017 Aug 17.,Zhao Z,Acta Anaesthesiol Scand,2017,2017/08/24,,,10.1111/aas.12959,The study objective was to examine the correlation between regional ventilation distribution measured with electrical impedance tomography (EIT) and weaning outcomes during spontaneous breathing trial (SBT).,None,"Fifteen patients received 100% automatic tube compensation (ATC) during the first and 70% during the second hour. Another 15 patients received external continuous positive airway pressure (CPAP) of 5 and 7.5 cmH<sub>2</sub> O during the first and second hours, respectively. Regional ventilation distributions were monitored with EIT.","Tidal volume and tidal variation of impedance correlated significantly during assist-control ventilation and ATC in all patients (r<sup>2</sup> = 0.80 ± 0.18, P < 0.001). Higher support levels resulted in similar ventilation distribution and tidal volume, but higher end-expiratory lung impedance (EELI) (P < 0.05). Analysis of regional intratidal gas distribution revealed a redistribution of ventilation towards dorsal regions with lower support level in 13 of 30 patients. These patients had a higher weaning success rate (only 1 of 13 patients failed). Eight of 17 other patient failed (P < 0.05). The number of SBT days needed for weaning was significantly lower in the former group of 13 patients (13.1 ± 4.0 vs. 20.9 ± 11.2 days, P < 0.05).","Regional ventilation distribution patterns during inspiration were associated with weaning outcomes, and they may be used to predict the success of extubation."
8895,28818850,Improved pregnant women's understanding of research information by an enhanced informed consent form: a randomised controlled study nested in neonatal research,"Koonrungsesomboon N, Traivaree C, Chamnanvanakij S, Rungtragoolchai P, Thanapat Y, Karbwang J.",Arch Dis Child Fetal Neonatal Ed. 2018 Sep;103(5):F403-F407. doi: 10.1136/archdischild-2017-312615. Epub 2017 Aug 17.,Koonrungsesomboon N,Arch Dis Child Fetal Neonatal Ed,2018,2017/08/19,,,10.1136/archdischild-2017-312615,None,"This study aimed to test the applicability and effectiveness of the enhanced informed consent form (ICF) methodology, proposed by the Strategic Initiative for Developing Capacity in Ethical Review (SIDCER), in neonatal research requiring maternal consent.",A single-centre open-label randomised controlled study.,"72.5% (87/120) of the participants in the SIDCER ICF group and 59.8% (67/112) of the conventional ICF group achieved the primary endpoint (relative risk (RR)=1.212, 95% CI 1.005 to 1.462, p=0.041). The superiority of the SIDCER ICF over the conventional ICF was significant, particularly among the participants whose education was at the high school level or below (63.5% vs 44.1%, RR=1.441, 95% CI 1.022 to 2.030, p=0.031).","The SIDCER ICF methodology is applicable to neonatal research requiring maternal consent. The SIDCER ICF significantly improved the understanding of pregnant women, particularly among those with lower levels of education. The present study confirms the value of the SIDCER ICF methodology in research involving individuals with a limited academic background."
8896,28817434,Everolimus Is Associated With Less Weight Gain Than Tacrolimus 2 Years After Liver Transplantation: Results of a Randomized Multicenter Study,"Charlton M, Rinella M, Patel D, McCague K, Heimbach J, Watt K.",Transplantation. 2017 Dec;101(12):2873-2882. doi: 10.1097/TP.0000000000001913.,Charlton M,Transplantation,2017,2017/08/18,PMC5704647,,10.1097/TP.0000000000001913,None,None,None,None,None
8897,28816894,The Clavicle Trial: A Multicenter Randomized Controlled Trial Comparing Operative with Nonoperative Treatment of Displaced Midshaft Clavicle Fractures,"Ahrens PM, Garlick NI, Barber J, Tims EM; Clavicle Trial Collaborative Group.",J Bone Joint Surg Am. 2017 Aug 16;99(16):1345-1354. doi: 10.2106/JBJS.16.01112.,Ahrens PM,J Bone Joint Surg Am,2017,2017/08/18,,,10.2106/JBJS.16.01112,The treatment of displaced midshaft clavicle fractures remains controversial.,None,"We undertook a multicenter randomized controlled trial to compare effectiveness and safety between nonoperative management and ORIF (open reduction and internal fixation) for displaced midshaft clavicle fractures in adults. Three hundred and one eligible adult patients were randomized to 1 of the 2 treatment groups and followed at 6 weeks, 3 months, and 9 months after recruitment. The primary outcome was the rate of radiographically evident nonunion at 3 months following treatment. Secondary outcomes were the rate of radiographically evident nonunion at 9 months, limb function measured using the Constant-Murley Score and DASH (Disabilities of the Arm, Shoulder and Hand) score, and patient satisfaction.","There was no difference in the proportion of patients with radiographic evidence of nonunion at 3 months between the operative (28%) and nonoperative (27%) groups, whereas at 9 months the proportion with nonunion was significantly lower (p < 0.001) in the operative group (0.8%) than in the nonoperative group (11%). The DASH and Constant-Murley scores and patient satisfaction were all significantly better in the operative group than in the nonoperative group at 6 weeks and 3 months.","Although at 3 months there was no evidence that surgery had reduced the rate of nonunion of displaced midshaft clavicle fractures, at 9 months nonoperative treatment had led to a significantly higher nonunion rate (11% compared with <1%). The rate of secondary surgical intervention during the trial period was 12 (11%) of the 147 patients in the nonoperative group. ORIF is a safe and reliable intervention with superior early functional outcomes and should be considered for patients who sustain this common injury."
8898,28816072,"Calcium electroporation for treatment of cutaneous metastases; a randomized double-blinded phase II study, comparing the effect of calcium electroporation with electrochemotherapy","Falk H, Matthiessen LW, Wooler G, Gehl J.",Acta Oncol. 2018 Mar;57(3):311-319. doi: 10.1080/0284186X.2017.1355109. Epub 2017 Aug 17.,Falk H,Acta Oncol,2018,2017/08/18,,,10.1080/0284186X.2017.1355109,"Calcium electroporation is a novel anticancer treatment, which utilizes high voltage pulses to permeabilize cell membranes and expose the cell to supraphysiological doses of calcium. Preclinical studies on calcium electroporation have shown strikingly high tumor response with cell necrosis. Calcium electroporation builds on the treatment electrochemotherapy, where chemotherapeutic drugs, mostly bleomycin, are internalized by electroporation. This double-blinded randomized study compared calcium electroporation to electrochemotherapy in terms of objective response measured 6 months after treatment.",None,"Seven patients with a total of 47 cutaneous metastases from breast cancer and malignant melanoma were included in the protocol. A total of 37 metastases were randomized and evaluated for response, another 10 metastases were used for biopsy. This was a non-inferiority trial and metastases were randomized individually in each patient to either intratumoral calcium or bleomycin followed by application of electric pulses to tumor site. All metastases were treated once, and after 6-months of follow-up, the randomization code was revealed.","Objective response of calcium electroporation was 72% (13/18) with complete response in 66% (12/18). For electrochemotherapy, objective response was 84% (16/19) with complete response in 68% (13/19). There was no statistically significant difference between the two treatments (p = 0.5). After 1 year, only three out of 25 metastases had relapsed. Ulceration, itching and exudation were reported slightly more frequently in metastases treated with bleomycin, and hyperpigmentation was only seen in metastases treated with bleomycin.",This study shows that calcium electroporation is feasible and effective in patients with cutaneous metastases.
8899,28811653,Meal timing effects on insulin sensitivity and intrahepatic triglycerides during weight loss,"Versteeg RI, Ackermans MT, Nederveen AJ, Fliers E, Serlie MJ, la Fleur SE.",Int J Obes (Lond). 2018 Feb;42(2):156-162. doi: 10.1038/ijo.2017.199. Epub 2017 Aug 16.,Versteeg RI,Int J Obes (Lond),2018,2017/08/17,,,10.1038/ijo.2017.199,None,None,None,None,None
8900,28805455,The effect of a peer support intervention on early recovery outcomes in men recovering from coronary bypass surgery: A randomized controlled trial,"Colella TJ, King-Shier K.",Eur J Cardiovasc Nurs. 2018 Jun;17(5):408-417. doi: 10.1177/1474515117725521. Epub 2017 Aug 14.,Colella TJ,Eur J Cardiovasc Nurs,2018,2017/08/15,,,10.1177/1474515117725521,None,None,None,None,None
8901,28797313,Intravenous immunoglobulins in children with new onset dilated cardiomyopathy,"Heidendael JF, Den Boer SL, Wildenbeest JG, Dalinghaus M, Straver B, Pajkrt D.",Cardiol Young. 2018 Jan;28(1):46-54. doi: 10.1017/S1047951117001561. Epub 2017 Aug 11.,Heidendael JF,Cardiol Young,2018,2017/08/12,,,10.1017/S1047951117001561,"Dilated cardiomyopathy is a rare but serious disorder in children. No effective diagnostic or treatment tools are readily available. This study aimed to evaluate the efficacy of intravenous immunoglobulins in children with new onset dilated cardiomyopathy. Methods and results In this retrospective cohort study, 94 children with new onset dilated cardiomyopathy were followed during a median period of 33 months. All patients with secondary dilated cardiomyopathy - for example, genetic, auto-immune or structural defects - had been excluded. Viral tests were performed in all patients and 18 (19%) children met the criteria for the diagnosis ""probable or definite viral myocarditis"". Intravenous immunoglobulins were administered to 21 (22%) patients. Overall transplant-free survival was 75% in 5 years and did not differ between treatment groups. The treatment was associated with a higher recovery rate within 5 years, compared with non-treated children (70 versus 43%, log rank=0.045). After correction for possible confounders the hazard ratio for recovery with intravenous immunoglobulins was not significant (hazard ratio: 2.1; 95% CI: 1.0-4.6; p=0.056). Administration of intravenous immunoglobulins resulted in a greater improvement in the shortening fraction of the left ventricle.",None,None,None,"In our population of children with new onset dilated cardiomyopathy, of either viral or idiopathic origin, intravenous immunoglobulins were administered to a minority of the patients and did not influence transplant-free survival, but were associated with better improvement of systolic left ventricular function and with better recovery. Our results support the concept that children with new onset dilated cardiomyopathy might benefit from intravenous immunoglobulins."
8902,28790547,The Role of the Tamsulosin in the Medical Expulsion Therapy for Distal Ureteral Stones,"Nuraj P, Hyseni N.",Med Arch. 2017 Apr;71(2):137-140. doi: 10.5455/medarh.2017.71.137-140.,Nuraj P,Med Arch,2017,2017/08/10,PMC5511523,,10.5455/medarh.2017.71.137-140,"This research aims to evaluate the role of tamsulosin in the medical expulsion therapy for distal ureteral stones, including her effects in stone expulsion time, expulsion rates, stone size, pain episodes and analgesic dosage usage.",None,"The 104 patients with distal ureteral calculi were examined, with the size of the stones 4-10 mm. They were randomly divided into two groups: study group (n=52), received tamsulosin 0.4 mg in morning, for 28 days, analgesic (diclofenac 75 mg), high fluid intake and Control group (n=52) received analgesic (diclofenac 75 mg), high fluid intake.","There is no significant difference between groups, based on sex (P=0.835) and age (P=0.987). Average size of the stones was 6.5 mm (SD ± 1.6 mm), with no significant difference (P=0.996). Stone expulsion rate is 90.4% in the study group and 71.2% from the control group, with statistical significance (P=0.023). The average time of the expulsion of stones in the study group was 9.6 days (SD ± 7.1 days), control group 13.7 days (SD ± 7.3 days), with statistical significance, (P=0.034). Average dose of analgesics in the study group was 63.7 mg (SD ± 45.2 mg), control group is 109.2 (SD ± 53.3), with statistical significance (P=0.019).","Our study reveals that tamsulosin is efficient for the treatment of distal ureteral stones. Tamsulosin decrease the number of ureteral colic episodes, by acting as a spasmolytic, increase and hasten stone expulsion rates, reduce days of stone expulsion, decrease analgesic dose usage."
8903,28787388,"A Double-blind, Randomized, Placebo-controlled Trial of Lactobacillus acidophilus for the Treatment of Acute Watery Diarrhea in Vietnamese Children","Hong Chau TT, Minh Chau NN, Hoang Le NT, Chung The H, Voong Vinh P, Nguyen To NT, Ngoc NM, Tuan HM, Chau Ngoc TL, Kolader ME, Farrar JJ, Wolbers M, Thwaites GE, Baker S; Oxford-Vietnam Probiotics Study Group.",Pediatr Infect Dis J. 2018 Jan;37(1):35-42. doi: 10.1097/INF.0000000000001712.,Hong Chau TT,Pediatr Infect Dis J,2018,2017/08/09,PMC5681247,EMS73465,10.1097/INF.0000000000001712,Probiotics are the most frequently prescribed treatment for children hospitalized with diarrhea in Vietnam. We were uncertain of the benefits of probiotics for the treatment of acute watery diarrhea in Vietnamese children.,None,"We conducted a double-blind, placebo-controlled, randomized trial of children hospitalized with acute watery diarrhea in Vietnam. Children meeting the inclusion criteria (acute watery diarrhea) were randomized to receive either 2 daily oral doses of 2 × 10 CFUs of a local probiotic containing Lactobacillus acidophilus or placebo for 5 days as an adjunct to standard of care. The primary end point was time from the first dose of study medication to the start of the first 24-hour period without diarrhea. Secondary outcomes included the total duration of diarrhea and hospitalization, daily stool frequency, treatment failure, daily fecal concentrations of rotavirus and norovirus, and Lactobacillus colonization.","One hundred and fifty children were randomized into each study group. The median time from the first dose of study medication to the start of the first 24-hour diarrhea-free period was 43 hours (interquartile range, 15-66 hours) in the placebo group and 35 hours (interquartile range, 20-68 hours) in the probiotic group (acceleration factor 1.09 [95% confidence interval, 0.78-1.51]; P = 0.62). There was also no evidence that probiotic treatment was efficacious in any of the predefined subgroups nor significantly associated with any secondary end point.","This was a large double-blind, placebo-controlled trial in which the probiotic underwent longitudinal quality control. We found under these conditions that L. acidophilus was not beneficial in treating children with acute watery diarrhea."
8904,28777672,The Physiological and Ergogenic Effects of Khat (Catha edulis Forsk) Extract,"Sallam MA, Sheikh KA, Baxendale R, Azam MN, Hossain AM, El-Setouhy M.",Subst Use Misuse. 2018 Jan 2;53(1):94-100. doi: 10.1080/10826084.2017.1325375. Epub 2017 Aug 4.,Sallam MA,Subst Use Misuse,2018,2017/08/05,,,10.1080/10826084.2017.1325375,None,None,None,None,None
