,Title,PMID,text,DOI,labels,source
33,,,The challenge of this task is the much skewed distribution in real text,,1,acl_cambridge
34,,,"However , the main limitation of existing approaches is that they are ad-hoc : the rules that govern word formation and inflection are only implicit in such systems , usually intertwined with control structures and general code",,1,acl_cambridge
35,,,"While MERT does not scale to large numbers of features , the scarcity of manually aligned training data",,1,acl_cambridge
36,,,"A major drawback of this early work was that it used no lexical information in the supertagging process as the training material consisted of ( part-of-speech , supertag ) pairs",,1,acl_cambridge
37,,,"Despite of their success , a limitation of them is that their performances are easily affected by the size of the context window",,1,acl_cambridge
38,,,"Furthermore , one possible drawback in employing this bootstrapping method is that there may be a complementary distribution between prosodic and lexical features",,1,acl_cambridge
39,,,Its most obvious drawback is that the method can translate only those source language strings contained in the translation database,,1,acl_cambridge
40,,,"Apart from system delay , another current limitation that will influence future interactive speech systems is the unavailability of full prosodic analysis",,1,acl_cambridge
41,,,"A major weakness of many existing scoring engines such as the Intelligent Essay AssessorTM ( Landauer et al. , 2003 ) is that they adopt a holistic scoring scheme , which summarizes the quality of an essay with a single score and thus provides very limited feedback to the writer",,1,acl_cambridge
42,,,"The latter drawback is the more serious one : the metrics were not designed to evaluate single key/response pairs , but whole texts",,1,acl_cambridge
43,,,The disadvantage of this approach is that it involves a good deal of human effort to research on a specific data set and summarize the rules,,1,acl_cambridge
44,,,The most significant drawback is that ontologies are not standard among systems,,1,acl_cambridge
45,,,"The limitation of locating parts of arguments , such as the positions and head words , is that it is only a partial solution to argument labeling in discourse parsing",,1,acl_cambridge
46,,,The only drawback or risk of this strategy is that some of the system timex-values could be incorrect,,1,acl_cambridge
47,,,"However , the WCN does not assign probability to the u = fi* case –",,1,acl_cambridge
48,,,The primary weakness of this approach is that it relies too heavily on user interaction,,1,acl_cambridge
49,,,Our solution to the problem of lone prepositions,,1,acl_cambridge
50,,,One shortcoming of the dual decomposition approach is that it only applies to parse-scoring functions with an arc-factored component,,1,acl_cambridge
51,,,One disadvantage of the model above is that it is not capable of modeling bilexical dependencies on the right hand side of the rules,,1,acl_cambridge
52,,,Another issue with the linear representation of ECs is that crucial dependencies between ECs and other elements in the syntactic structure are not represented,,1,acl_cambridge
53,,,"The main drawback is that it needs almost 20,000 iterations before the Gibbs sampler converges",,1,acl_cambridge
54,,,One drawback is that it cannot deal with dependencies of higher order of TU n-grams than bigrams,,1,acl_cambridge
55,,,Another limitation that may have affected the accuracy of the model was the way in which potential predictor variables were refined,,1,acl_cambridge
56,,,A disadvantage of the weasel tag is its short life span,,1,acl_cambridge
57,,,The disadvantage is that it is likely to worsen the generalising power of the model,,1,acl_cambridge
58,,,"While this retains the coherence of the model , the restriction to pairwise predicates",,1,acl_cambridge
59,,,"A drawback to using XPath to query a hierarchy which is serialised to multiple annotation files , is that much of the efficiency of XPath expressions can be lost through the necessity of resolving XLinks at every child or parent step of the expression",,1,acl_cambridge
60,,,"In exchange , a limitation of our pre-editing approach is that it is language-dependent , as the underlying technology is based on shallow analysis and is therefore timeexpensive to extend to a new language",,1,acl_cambridge
61,,,Intervals have a very obvious weakness in that the highly precise choice of endpoints can rarely be wellmotivated in natural domains such as these,,1,acl_cambridge
62,,,"The main limitation of the two models discussed above is that they take the bag-of-words ( BOW ) assumption without considering the fact that an email thread is a multi-party , asynchronous conversation",,1,acl_cambridge
63,,,A further difficulty in creating the transformation is that the head passing conventions differ between DepBank and CCGbank,,1,acl_cambridge
64,,,"First , as maximum margin classifiers , they sidestep the common issue of overfitting",,1,acl_cambridge
65,,,A potential drawback is that it might not work well for low-frequency words,,1,acl_cambridge
66,,,A difficulty in comparing approaches to tweet normalization is the sparsity of publicly available datasets,,1,acl_cambridge
67,,,All references Sentence Error Rate ( aSER ) : The SER metric presents the drawback of working with only one reference,,1,acl_cambridge
68,,,"One drawback of his algorithm is that it requires the proportion of positive and negative examples in the test data be close to the proportion in the training data , which may not always hold , particularly when the training data is small",,1,acl_cambridge
69,,,Its major limitation is that it can only handle approximately 20 words or phrases,,1,acl_cambridge
70,,,"A major weakness of many existing essay scoring engines such as IntelliMetric ( Elliot , 2001 ) and Intelligent Essay Assessor ( Landauer et al. , 2003 ) is that they adopt a holistic scoring scheme , which summarizes the quality of an essay with a single score and thus provides very limited feedback to the writer",,1,acl_cambridge
71,,,The main limitation is that E1 and E2 regularization can not let the model give weight to conjunctions that have not been observed at training,,1,acl_cambridge
72,,,A serious limitation of the current implementation is the fact that the configurability of PRESENTOR at the micro-planning level is restricted to the lexicalization and the linguistic realization of rhetorical relations,,1,acl_cambridge
73,,,It is obvious that this dual question of true or false invokes the issue of vagueness,,1,acl_cambridge
74,,,The primary disadvantages of navigating menus for users are the difficulty of matching their goals to the given options,,1,acl_cambridge
75,,,"The drawback is that , since extracted events in test are imperfect , this creates a divergence between training and testing scenarios , which can lead to degraded performance",,1,acl_cambridge
76,,,A common limitation is that the user may not find the exact sign ( or version of a sign ) that is needed for a particular sentence,,1,acl_cambridge
77,,,Another shortcoming is that these models have not been scrutinized using standard NLP evaluations,,1,acl_cambridge
78,,,"However , the shortcoming of both approaches is that they ignore edge type information",,1,acl_cambridge
79,,,"Of course , a fundamental problem in evaluating NLG is that there may be many acceptable outputs",,1,acl_cambridge
80,,,The main problem with a voting technique is that it does not effectively combine competing factors into a single model,,1,acl_cambridge
81,,,A severe limitation of the current TED system is its restricted range of syntactic coverage,,1,acl_cambridge
82,,,"The drawback of this move is that when two entities belonging to the same class are adjacent , our classifier will automatically merge them into one entity",,1,acl_cambridge
83,,,A limitation of our system in its current version lies in the requirement for absolute lexical match with unknown rule unigrams and bigrams,,1,acl_cambridge
84,,,"Although it is very efficient in terms of translation speed , it suffers from the drawback of being dependent on the so-called monotonicity constraint : The alignment paths are assumed to be monotone",,1,acl_cambridge
85,,,These analyses have crucially solved the problem of tree overgeneration,,1,acl_cambridge
86,,,One limitation is that we have been using the same set of features for all concepts,,1,acl_cambridge
87,,,One limitation of the proposed modeling approach is the arc-based features,,1,acl_cambridge
88,,,This problem of circularity in expert coding,,1,acl_cambridge
89,,,"A large drawback of SMT systems is that they use no or little grammatical knowledge , relying mainly on a target language model for producing correct target language texts , often resulting in ungrammatical output",,1,acl_cambridge
90,,,The main drawback is that the entries produced automatically need some semimanual checking,,1,acl_cambridge
91,,,A main shortcoming of using ROUGE-1 is that the generated sentences are compared only to a finite set of human labeled ground truth which obviously does not capture all possible sentences that one can generate,,1,acl_cambridge
92,,,"However , a more fundamental difficulty is that many of the textual characteristics which are problematic for a pipeline to generate are also difficult to measure computationally",,1,acl_cambridge
93,,,Thereby denying the common knowledge that the drawback of using gold standard evaluations is the fact that gold standards often prove to be incomplete,,1,acl_cambridge
94,,,Two types of solutions have been proposed for the problem of low agreement on sense tagging,,1,acl_cambridge
95,,,The major drawback of using bi-lexical representations is that it limits us to using a single source language,,1,acl_cambridge
96,,,"The only drawback we observed with SVM2 was that it seemed to be quite weak for the very low frequency classes such as RNA , SOURCE.mo or TIME where the Ell\ilM usually proved to be more robust",,1,acl_cambridge
97,,,And the problem of misspelling in PAN,,1,acl_cambridge
98,,,One shortcoming of LCSeg is that it ignores speaker information when segmenting transcripts,,1,acl_cambridge
99,,,"From an NLP perspective , the problem of the ambiguity of the clitic pronoun se",,1,acl_cambridge
100,,,The major drawback of these approaches is their dependency on seed examples or seed patterns which may lead to limited generalization due to dependency on handcrafted examples,,1,acl_cambridge
101,,,"A major problem with machine translation , regardless of the translation method , is that performance drops rapidly as input sentences become longer",,1,acl_cambridge
102,,,"In our setup , the one possible shortcoming of our approach to constructing reference sets for translation sense clustering is that a cluster may correspond to a sense that is not shared by the original source word used to generate the translation set",,1,acl_cambridge
103,,,An obvious drawback is that it is necessary to re-classify many words if the application domain changes significantly,,1,acl_cambridge
104,,,A key challenge in this task is sparsity of labeled data : a given predicate-role instance may only occur a handful of times in the training set,,1,acl_cambridge
105,,,One problem with evaluating a spell checker designed to correct search queries is that evaluation data is hard to get,,1,acl_cambridge
106,,,This mechanism has the disadvantage that it involves high overhead,,1,acl_cambridge
107,,,"The drawback of this approach was the need to manage text distribution among the annotators , as all the work was done on local computers",,1,acl_cambridge
108,,,"Its disadvantage is that sense disambiguation is not carried out relative to any well defined set of senses , but rather an ad hoc set",,1,acl_cambridge
109,,,The only drawback is that it willperform slower as it needs to process all the words,,1,acl_cambridge
110,,,A shortcoming of these kinds of automatic generators is that users have to be patient to find the name that they are looking for,,1,acl_cambridge
111,,,But the drawback noticed in this research is that need of extensive syntactic resources to determine the knowledge to be acquired,,1,acl_cambridge
112,,,"A weakness of the method is that poor results are obtained for language pairs that are not closely related ( Ismail and Manandhar , 2010 )",,1,acl_cambridge
113,,,The second limitation is that the dataset contains only those acronyms whose long-forms were found in Medline abstracts,,1,acl_cambridge
114,,,"The major limitation of these works is the use of EUROVOC , which is a specific resource workable only for European languages",,1,acl_cambridge
115,,,"Nevertheless , it is well-known that k-means has the major drawback of not being able to separate data points",,1,acl_cambridge
116,,,"However , as observed by Liben-Nowell and Kleinberg ( 2003 ) , hitting time has the drawback of being sensitive to portions of the graph that are far from the start node because it considers paths of length up to oc",,1,acl_cambridge
117,,,"However , a significant drawback of this approach is that PEM requires substantial in-domain bilingual data to train the semantic adequacy evaluator , as well as sample human judgments to train the overall metric",,1,acl_cambridge
118,,,The main contribution of this paper is putting forward an approach which can make up for the limitation of using the statistical model or human knowledge purely by combining them organically,,1,acl_cambridge
119,,,The drawback is that the estimates of parameters corresponding to events that occur infrequently in the training data are not reliable,,1,acl_cambridge
120,,,"Hence , they are not long and most of them do not exhibit interesting linguistic properties",,1,acl_cambridge
121,,,"But the limitation is that it required a dependency parser , thesaurus , and training data",,1,acl_cambridge
122,,,"In testing a retrieval-based system , although we can simply use the original responses associated with the query post as positive and treat all the others as negative , this strategy suffers from the problem of spurious negative examples",,1,acl_cambridge
123,,,A well-known problem of Statistical Machine Translation ( SMT ) is that performance quickly degrades as soon as testing conditions deviate from training conditions,,1,acl_cambridge
124,,,We have found that the problem of combinatorial explosion in parsing English,,1,acl_cambridge
125,,,"In general , the formalism must be able to deal with , discontinuous constituents , a problem not dissimilar to the problems of discontinuous constituents in natural language parsing",,1,acl_cambridge
126,,,Another limitation is that the research was conducted using a single system,,1,acl_cambridge
127,,,"The main drawback of applying this technique in dialectometry is that it is not directly related to the aggregate analysis , but is rather an independent step",,1,acl_cambridge
128,,,A drawback of learning by using complex functions is that complex functions do not generalize well and thus tend to over-fit,,1,acl_cambridge
129,,,One drawback of the reranking approach is that correct SF for the predicates of a sentence can actually appear in different parse trees,,1,acl_cambridge
130,,,"One possible drawback is that senses which one might want to keep separate , e.g. , the most common sense box/container ( 1 ) , can be collapsed with others",,1,acl_cambridge
131,,,One limitation of this model is its dependence on semantic resources,,1,acl_cambridge
132,,,The problem with these representation forms is that they are static,,1,acl_cambridge
133,,,"Note that this synthetic problem is considerably easier than a real MT scenario , where the gold scoring function is nonlinear",,1,acl_cambridge
134,,,"One shortcoming was that our classifier was effective only Exp.Conj , Exp.Inst and Exp.Rest",,1,acl_cambridge
135,,,"In the case of Japanese text processing , the most serious problem is poor accuracy of word segmentation and POS tagging",,1,acl_cambridge
136,,,Another drawback of the duplication is that the representation consumes more storage space than necessary,,1,acl_cambridge
137,,,The problem with this approach is that creating these rules requires much cost and that they are usually domain-dependent,,1,acl_cambridge
138,,,One possible disadvantage of this supervised approach is a loss of recall on unseen paraphrases,,1,acl_cambridge
139,,,"A main drawback to this model is that it weighs all co-occurrences equally , even those that happen rarely or never",,1,acl_cambridge
140,,,"One such limitation is the summarization of multimodal documents : no existing system is able to incorporate the non-text portions of a document ( e.g. , information graphics , images ) into the overall summary",,1,acl_cambridge
141,,,"Because such a semantics can be automically induced , it escapes the limitation of depending on relations from hand-built training data , knowledge bases or ontologies",,1,acl_cambridge
142,,,Another limitation is that these models are restricted to reorderings with no gaps and phrases that are adjacent,,1,acl_cambridge
143,,,"However , a potential shortcoming of this model is that it can not represent the link between arguments of a verb",,1,acl_cambridge
144,,,A major shortcoming is that the increase of coverage does not follow the growth of the case base to the same extent,,1,acl_cambridge
145,,,"The reason may lie in the training strategy , where we used sampling to solve the problem of unbalanced dataset",,1,acl_cambridge
146,,,"First , we note that a big weakness is that the system currently only works for Wikipedia pages",,1,acl_cambridge
147,,,"One problem with using some of the above criteria is that they are all negative tests , which are known to be problematic in language classification tasks",,1,acl_cambridge
148,,,"While M1 and M2 do not improve on the baseline , an important drawback of these baselines is that they may map two or more roles in an event description to the same dependency",,1,acl_cambridge
149,,,"While these models are well suited for the effective handling of highly divergent sentential word orders , the above frameworks have a limitation shared with probabilistic context free grammars that the preferred ordering of subtrees is insufficiently constrained by their embedding context",,1,acl_cambridge
150,,,Sadat and Habash ( 2006 ) address the issue of lexical sparsity,,1,acl_cambridge
151,,,"Their major drawback is that they require a great deal of skilled hand-crafting that , unfortunately , usually does not scale in broader application domains",,1,acl_cambridge
152,,,The first drawback is that it requires more knowledge of the user than using a more specialized one,,1,acl_cambridge
153,,,"The only drawback is , that we are confronted , again , with a syntactic feature containing , among other things , records of derivation history",,1,acl_cambridge
154,,,"A major shortcoming of using CUG or PATR-II as a linguistic formalism is that the dependencies that are necessary for determining anaphoric relationships are "" hidden "" in the DAG describing the linguistic expression ; information is distributed in a flat graph structure with no higher order grouping expressed",,1,acl_cambridge
155,,,This approach has the drawback of biasing somewhat the frequencies in our data set towards the categories that take precedence,,1,acl_cambridge
156,,,"Another drawback is that it is impossible to adapt them to a specific task , which could generate many errors that are important to the task",,1,acl_cambridge
157,,,"As also suggested in ( Pradhan et al. , 2008 ) , the major drawback is the poor generalization power affecting lexical features",,1,acl_cambridge
158,,,Another limitation is that it is hard to obtain data big enough to split the data into subparts for both the hierarchical mixed model analysis and classification,,1,acl_cambridge
159,,,"Further , a current practical limitation is that the SD scheme was developed against newswire data , namely the Wall Street Journal portion of the Penn Treebank",,1,acl_cambridge
160,,,"One limitation is the availability of annotated corpora , which do not exist for all languages",,1,acl_cambridge
161,,,The main drawback of the Perceptron style algorithm is that it does not have a mechanism for attaining the maximize margin of the training data,,1,acl_cambridge
162,,,"A related limitation is that its model of the speaker 's goals is static , rather than dynamic ( e.g. , the speaker is always assumed to have a goal of being polite )",,1,acl_cambridge
163,,,This proposal has the drawback of being quite costly,,1,acl_cambridge
164,,,We will focus in this paper on one kind of weakness of such parser which is their inability to properly take into account subcategorization frames ( SF ) of predicative lexemes2,,1,acl_cambridge
165,,,"However , one disadvantage is that the reliability of the rules is often language pair dependent",,1,acl_cambridge
166,,,"A further issue is that Docent is non-deterministic , i.e. , it can give different results with the same parameter weights",,1,acl_cambridge
167,,,Another shortcoming is that the database does not provide “true” recall,,1,acl_cambridge
168,,,One obvious shortcoming is that some information gets lost in the thresholding that converts posterior probabilities from the prosodic model and the auxiliary LM into binary features,,1,acl_cambridge
169,,,"However , its limitation is that the distance measure does not capture sufficient information of semantic relations between language constituents",,1,acl_cambridge
170,,,A deep syntax language model comes with the obvious disadvantage that any data it is trained on must be in-coverage of the parser,,1,acl_cambridge
171,,,"The other important criterion is the ability to read Kazakh , since not all of the interviewees could read in Kazakh sufficiently fluent",,1,acl_cambridge
172,,,A shortcoming of these kinds of automatic generators is that random generation can output so many bad suggestions and users have to be patient to find the name that they are looking for,,1,acl_cambridge
173,,,A further issue faced by these models is that the resources they rely on require significant effort to create and will not always be available to model data in a new language or a new domain,,1,acl_cambridge
174,,,The drawback shared by most statistical answer extractors is their reliance on predefined ontologies,,1,acl_cambridge
175,,,The drawback is that the solution may be only a local optimum,,1,acl_cambridge
176,,,"However , a drawback to the on-line algorithm is that a variant of Kipps ' caching cannot be used",,1,acl_cambridge
177,,,A more troubling problem is the instability of the model,,1,acl_cambridge
178,,,"We must hence accept the intrinsic limitation of using a bias whose source is the introspection of a single , or of a community of scientists",,1,acl_cambridge
179,,,The primary disadvantage of these models is that scores -- and as a result any feature representations -- are restricted to a single arc or a small number of arcs in the graph,,1,acl_cambridge
180,,,A shortcoming is that LDA does not modelize at all the sequentiality of the data,,1,acl_cambridge
181,,,The disadvantage of using such features is that this reduces the efficiency of the dynamic programming,,1,acl_cambridge
182,,,"In fact , the drawback of Paragraph Vector is that an iterative inference step is needed during runtime",,1,acl_cambridge
183,,,"Compared with the traditional approaches which utilize the first pass translation hypotheses , cross-lingual data selection model avoids the problem of noisy proliferation",,1,acl_cambridge
184,,,The potential drawback of using Equations 8 and 9 is that the CCG labels for a particular sentence significantly reduces the paraphrases that can be used,,1,acl_cambridge
185,,,"We do not include results for the BOOKS domain because the text collection is much larger than the other domains , and the computation for the MSZ relevance score ranking is intractable due to the number of n-grams",,1,acl_cambridge
186,,,"Overall , the relatively low performance of resolution",,1,acl_cambridge
187,,,But we also believe that ultimately this issue of annotator bias,,1,acl_cambridge
188,,,The drawback is the complexity it introduces into an ( up till now ) quite simple story,,1,acl_cambridge
189,,,This issue of annotator bias,,1,acl_cambridge
190,,,We can see here that the problem of the circularity of language comprehension,,1,acl_cambridge
191,,,"And the shell contains a system for evaluating parses , extending IIeidorn 's ( 1982 ) parse metric , which is used not only for ranking final parses but also for pruning away unlikely partial analyses during parsing , thus reducing the problem of parse space explosion",,1,acl_cambridge
192,,,The main drawback is that structures may not be properly represented by flat features,,1,acl_cambridge
193,,,The main drawback associated with this kind of user feedback is that the user may have to read a large number of reviews in order to make a decision,,1,acl_cambridge
194,,,"While they provide some efficiency gains , they do not help with the main problem of longer sentences",,1,acl_cambridge
195,,,"One limitation of using the CLE algorithm for generation is that the resulting tree , though maximal in probability , may not conform to basic linguistic properties of a dependency tree",,1,acl_cambridge
196,,,"However , the problem of exponential explosion",,1,acl_cambridge
197,,,"Another common drawback concerns the way most of the recent approaches perform their analysis : the various languages are analyzed independently of each other ( possibly by exploiting external knowledge like Wikipedia to enrich documents ( Kumar et al. , 2011c ; Kumar et al. , 2011a ) ) , and then the language-specific results are merged",,1,acl_cambridge
198,,,"Another important problem of most of these approximations is that they usually work with terms , and so disregard the contextual meaning of those terms in the sentence ( Martineau and Finin , 2009 ; Moilanen and Pulman , 2007 )",,1,acl_cambridge
199,,,One critical drawback of Collocation map is the time complexity,,1,acl_cambridge
200,,,"A drawback of their method is , however , that manual linguistic mark-up is not based on abstract rules but rather on individual linguistic intuition",,1,acl_cambridge
201,,,"An issue with the minimal binarizations is that the algorithm for finding them has a high computational complexity , and has not been evaluated empirically on treebank data.",,1,acl_cambridge
202,,,Another major drawback is that it requires considerable linguistic skill to produce proper rules in a proper order,,1,acl_cambridge
203,,,"In future , we plan to perform additional experiments to study the issue of noisy data",,1,acl_cambridge
204,,,There are two main ( not unrelated ) disadvantages to word similarity based approaches : 1. word co-occurrence information is not sufficiently exploited,,1,acl_cambridge
205,,,The major drawback is that we have to generate a list of all possible light verbs,,1,acl_cambridge
206,,,"The problem with these metrics is that they strongly depend on the arbitrarily defined window size parameter and do not penalize all error types equally , e.g. , pk penalizes false negatives more than false positives and wd penalizes false positive and negative boundaries more at the beginning and end of the text ( Lamprier , et al. , 2007 )",,1,acl_cambridge
207,,,A disadvantage of TNF is that it re-attaches a single node in every iteration,,1,acl_cambridge
208,,,One major time and cost limitation in developing LVCSR systems in Indian languages is the need for large training data,,1,acl_cambridge
209,,,"While such an analysis surely yields the most reliable links , it has the drawback of ignoring many links that might reflect true – although less frequently attested – conceptual relations",,1,acl_cambridge
210,,,"The main difficulty with the model is that because constraints on pronominal anaphora are stated entirely in terms of configurational relations of tree geometry , specifically , in terms of c-command and minimal dominating S and NP domains , control and unbounded dependency structures can only be handled by additional and fairly complex devices",,1,acl_cambridge
211,,,"A shortcoming which is common to all of these approaches using a “percent correct” measurement to evaluate models of part-of-speech induction is that in assigning an induced word cluster to a known target category , such as noun , and evaluating the goodness of the cluster according to how well it represents the class noun , the assumption is made that it is fine for a target class to be represented by multiple induced clusters , but it is unacceptable for a single induced category to represent a combination of multiple target categories",,1,acl_cambridge
212,,,The technical challenge is that each level of correspondence ( character and morpheme ) can completely describe the observed data,,1,acl_cambridge
213,,,Another limitation is that taxonomies are built according to the sense distinctions present in dictionaries and not according to the actual use of words in the corpus,,1,acl_cambridge
214,,,"One shortcoming of our current approach is that we focus mostly on unitary sources of overgeneration : a single lexical item , tree property or derivation operation that consistently occurs in overgenerated strings",,1,acl_cambridge
215,,,"The first problem is that Mongolian uses the Cyrillic alphabet to represent both conventional words and loanwords , and so the automatic extraction of loanwords is difficult",,1,acl_cambridge
216,,,"While voice selection mode allows the presenter greater mobility , it has the drawback of allowing the audience to see thumbnails of every slide returned by a content-based query , regardless of whether the presenter intended for them to be seen",,1,acl_cambridge
217,,,"The weakness of this is that it completely ignores the labeled source data after initialization , but the source data does contain some valuable information",,1,acl_cambridge
218,,,Another limitation of the proposed survival ratio based methods is that they work better on few articles which were highly modified by editors,,1,acl_cambridge
219,,,The main challenge for an experiment setup as described here is the considerable delay between user input and wizard response,,1,acl_cambridge
220,,,The second problem of overgeneration,,1,acl_cambridge
221,,,A fundamental limitation of the CCM is that it contains a single isolated parameter for every span,,1,acl_cambridge
222,,,Perhaps the most serious limitation is that they cannot be used to study language in natural tasks with real-world referents,,1,acl_cambridge
223,,,The second drawback is inherent to the way ROVER is usually run : the fusion process is typically fed with transcriptions of entire audio recordings ( lasting up to hours ),,1,acl_cambridge
224,,,The drawback is that this context may not be sufficient,,1,acl_cambridge
225,,,"Another shortcoming of this chapter is that nothing is said specifically about obtaining data from such resources as Twitter or Facebook , which need access via APIs rather than direct crawling",,1,acl_cambridge
226,,,A major challenge for such a joint system is the large search space faced by the decoder,,1,acl_cambridge
227,,,The major limitation of supervised approaches is that they require meaning annotations for example sentences,,1,acl_cambridge
228,,,"The first problem is the polysemy of relation phrases , which means that a relation phrase ctx can express different relations in different triples",,1,acl_cambridge
229,,,"Although our original aim was to develop a probabilistic framework that exploits Levin’s ( 1993 ) linguistic classification and the systematic correspondence between syntax and semantics , a limitation of the model is that it can not infer class information for verbs not listed in Levin",,1,acl_cambridge
230,,,The drawback is that this is expensive,,1,acl_cambridge
231,,,"Nevertheless , this approach has a drawback of over-generating ungrammatical sentences due to its “almost-free” alignment",,1,acl_cambridge
232,,,Another shortcoming is the treatment of input elements as indivisible entities,,1,acl_cambridge
233,,,This measure also has the disadvantage that it can miss the kind of conditioning information present in local subtrees,,1,acl_cambridge
234,,,"The first limitation is , all MFbased methods map words and their context words to two different sets of embeddings , and then employ Singular Value Decomposition ( SVD ) to obtain a low rank approximation of the word-context matrix M",,1,acl_cambridge
235,,,A current limitation is that we do not identify multiple target expressions for the same category,,1,acl_cambridge
236,,,But the problem of inaccurate constraint estimation,,1,acl_cambridge
237,,,"However , it does not provide a way to overcome the problem of inaccurate counts for low-probability cooccurrences",,1,acl_cambridge
238,,,"However , in the citations dataset , where a citing sentence may cover no information about the cited paper , randomization has the drawback of selecting citations that have no valuable information in them",,1,acl_cambridge
239,,,Their main drawback is that they may or may not produce the term types and granularities useful to the user,,1,acl_cambridge
240,,,"However , one shortcoming of existing parsers is that as the complexity of the sentences recognized increases , the computational complexity increases quadratically",,1,acl_cambridge
241,,,Another drawback is that the different sentence lengths have not been taken into account,,1,acl_cambridge
242,,,"A drawback of CNN as a classifier is that it finds only a local optimum , since it uses the same backpropagation technique as MLP",,1,acl_cambridge
243,,,The drawback is that the solution may be only a local optimum,,1,acl_cambridge
244,,,"However , an important drawback is that the tail model assigns a static preference to paraphrase ( i.e. , tail preferences are assumed to be contextindependent )",,1,acl_cambridge
245,,,Another serious problem with the handcrafted approach is that systems are hard to be ported across different domains and different languages,,1,acl_cambridge
246,,,A major limitation of this correction was the fact that misspellings resulting in real words were not addressed,,1,acl_cambridge
247,,,A limitation of the primitive weighting function described in Equation 1 is that it can not bridge vocabulary gaps between documents and queries,,1,acl_cambridge
248,,,A serious limitation of both π and κ is that all disagreements are treated equally,,1,acl_cambridge
249,,,The disadvantage of this method consists in the system having an unrealistically high memory requirement,,1,acl_cambridge
250,,,"A further difficulty is that languages are named , without the corresponding ISO language codes",,1,acl_cambridge
251,,,"One current limitation is that using only those arg2s that exactly match clean lists leaves out some good data ( e.g. , a tuple with an arg2 of ‘Univ of Wash’ will not match against a list of universities that spells it as ‘University of Washington’ )",,1,acl_cambridge
